NU_ANO_CENSO|CO_PESSOA_FISICA|NU_DIA|NU_MES|NU_ANO|NU_IDADE_REFERENCIA|NU_IDADE|TP_SEXO|TP_COR_RACA|TP_NACIONALIDADE|CO_PAIS_ORIGEM|CO_UF_NASC|CO_MUNICIPIO_NASC|CO_UF_END|CO_MUNICIPIO_END|TP_ZONA_RESIDENCIAL|IN_NECESSIDADE_ESPECIAL|IN_CEGUEIRA|IN_BAIXA_VISAO|IN_SURDEZ|IN_DEF_AUDITIVA|IN_SURDOCEGUEIRA|IN_DEF_FISICA|IN_DEF_INTELECTUAL|IN_DEF_MULTIPLA|TP_ESCOLARIDADE|TP_NORMAL_MAGISTERIO|TP_SITUACAO_CURSO_1|CO_AREA_CURSO_1|CO_CURSO_1|IN_LICENCIATURA_1|IN_COM_PEDAGOGICA_1|NU_ANO_INICIO_1|NU_ANO_CONCLUSAO_1|TP_TIPO_IES_1|CO_IES_1|TP_SITUACAO_CURSO_2|CO_AREA_CURSO_2|CO_CURSO_2|IN_LICENCIATURA_2|IN_COM_PEDAGOGICA_2|NU_ANO_INICIO_2|NU_ANO_CONCLUSAO_2|TP_TIPO_IES_2|CO_IES_2|TP_SITUACAO_CURSO_3|CO_AREA_CURSO_3|CO_CURSO_3|IN_LICENCIATURA_3|IN_COM_PEDAGOGICA_3|NU_ANO_INICIO_3|NU_ANO_CONCLUSAO_3|TP_TIPO_IES_3|CO_IES_3|IN_DISC_QUIMICA|IN_DISC_FISICA|IN_DISC_MATEMATICA|IN_DISC_BIOLOGIA|IN_DISC_CIENCIAS|IN_DISC_LINGUA_PORTUGUESA|IN_DISC_LINGUA_INGLES|IN_DISC_LINGUA_ESPANHOL|IN_DISC_LINGUA_FRANCES|IN_DISC_LINGUA_OUTRA|IN_DISC_LINGUA_INDIGENA|IN_DISC_ARTES|IN_DISC_EDUCACAO_FISICA|IN_DISC_HISTORIA|IN_DISC_GEOGRAFIA|IN_DISC_FILOSOFIA|IN_DISC_ENSINO_RELIGIOSO|IN_DISC_ESTUDOS_SOCIAIS|IN_DISC_SOCIOLOGIA|IN_DISC_EST_SOCIAIS_SOCIOLOGIA|IN_DISC_INFORMATICA_COMPUTACAO|IN_DISC_PROFISSIONALIZANTE|IN_DISC_ATENDIMENTO_ESPECIAIS|IN_DISC_DIVER_SOCIO_CULTURAL|IN_DISC_LIBRAS|IN_DISC_PEDAGOGICAS|IN_DISC_OUTRAS|IN_ESPECIALIZACAO|IN_MESTRADO|IN_DOUTORADO|IN_POS_NENHUM|IN_ESPECIFICO_CRECHE|IN_ESPECIFICO_PRE_ESCOLA|IN_ESPECIFICO_ANOS_INICIAIS|IN_ESPECIFICO_ANOS_FINAIS|IN_ESPECIFICO_ENS_MEDIO|IN_ESPECIFICO_EJA|IN_ESPECIFICO_ED_ESPECIAL|IN_ESPECIFICO_ED_INDIGENA|IN_ESPECIFICO_CAMPO|IN_ESPECIFICO_AMBIENTAL|IN_ESPECIFICO_DIR_HUMANOS|IN_ESPECIFICO_DIV_SEXUAL|IN_ESPECIFICO_DIR_ADOLESC|IN_ESPECIFICO_AFRO|IN_ESPECIFICO_OUTROS|IN_ESPECIFICO_NENHUM|TP_TIPO_DOCENTE|TP_TIPO_CONTRATACAO|ID_TURMA|TP_TIPO_TURMA|TP_MEDIACAO_DIDATICO_PEDAGO|IN_ESPECIAL_EXCLUSIVA|IN_REGULAR|IN_EJA|IN_PROFISSIONALIZANTE|TP_ETAPA_ENSINO|CO_CURSO_EDUC_PROFISSIONAL|CO_REGIAO|CO_MESORREGIAO|CO_MICRORREGIAO|CO_ENTIDADE|CO_UF|CO_MUNICIPIO|CO_DISTRITO|TP_DEPENDENCIA|TP_LOCALIZACAO|TP_CATEGORIA_ESCOLA_PRIVADA|IN_CONVENIADA_PP|TP_CONVENIO_PODER_PUBLICO|IN_MANT_ESCOLA_PRIVADA_EMP|IN_MANT_ESCOLA_PRIVADA_ONG|IN_MANT_ESCOLA_PRIVADA_SIND|IN_MANT_ESCOLA_PRIVADA_SIST_S|IN_MANT_ESCOLA_PRIVADA_S_FINS|TP_REGULAMENTACAO|TP_LOCALIZACAO_DIFERENCIADA|IN_EDUCACAO_INDIGENA
2017|115193903788|17|8|1967|49|50|2|1|1|76|35|3548906|35|3543907|1|0|||||||||4|3|1|1|145F09|1|||1990|1|56|||||||||||||||||||0|1|0|0||0|0|0|0|0|0|0|0|0|0|0|0||0|0|0||||0||0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|1|11165847|0|1|0|1|0|0|25||3|3506|35026|35021702|35|3543907|354390705|2|1|||||||||1|0|0
2017|115193903788|17|8|1967|49|50|2|1|1|76|35|3548906|35|3543907|1|0|||||||||4|3|1|1|145F09|1|||1990|1|56|||||||||||||||||||0|1|0|0||0|0|0|0|0|0|0|0|0|0|0|0||0|0|0||||0||0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|1|11165846|0|1|0|1|0|0|25||3|3506|35026|35021702|35|3543907|354390705|2|1|||||||||1|0|0
2017|118638161785|21|1|1978|39|39|2|1|1|76|41|4101408|35|3543907|1|0|||||||||4|3|1|1|145F14|1|||1999|2|299|1|1|142P01|1|||2010||9999999||||||||||0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0||0|0|0||||0||0|1|0|0|0|0|0|1|1|0|0|0|0|1|0|0|0|0|0|0|0|1|1|11182095|0|1|0|0|1|0|70||3|3506|35026|35267348|35|3543907|354390705|3|1|||||||||1|0|0
2017|118638161785|21|1|1978|39|39|2|1|1|76|41|4101408|35|3543907|1|0|||||||||4|3|1|1|145F14|1|||1999|2|299|1|1|142P01|1|||2010||9999999||||||||||0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0||0|0|0||||0||0|1|0|0|0|0|0|1|1|0|0|0|0|1|0|0|0|0|0|0|0|1|1|11182094|0|1|0|0|1|0|70||3|3506|35026|35267348|35|3543907|354390705|3|1|||||||||1|0|0
2017|118638161785|21|1|1978|39|39|2|1|1|76|41|4101408|35|3543907|1|0|||||||||4|3|1|1|145F14|1|||1999|2|299|1|1|142P01|1|||2010||9999999||||||||||0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0||0|0|0||||0||0|1|0|0|0|0|0|1|1|0|0|0|0|1|0|0|0|0|0|0|0|1|1|11182093|0|1|0|0|1|0|70||3|3506|35026|35267348|35|3543907|354390705|3|1|||||||||1|0|0
2017|118638161785|21|1|1978|39|39|2|1|1|76|41|4101408|35|3543907|1|0|||||||||4|3|1|1|145F14|1|||1999|2|299|1|1|142P01|1|||2010||9999999||||||||||0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0||0|0|0||||0||0|1|0|0|0|0|0|1|1|0|0|0|0|1|0|0|0|0|0|0|0|1|1|11182092|0|1|0|0|1|0|70||3|3506|35026|35267348|35|3543907|354390705|3|1|||||||||1|0|0
2017|118638161785|21|1|1978|39|39|2|1|1|76|41|4101408|35|3543907|1|0|||||||||4|3|1|1|145F14|1|||1999|2|299|1|1|142P01|1|||2010||9999999||||||||||||0||0|0|1|0|0|0|0|0|0|0|0|0|0|0||0|0||||0||0|1|0|0|0|0|0|1|1|0|0|0|0|1|0|0|0|0|0|0|0|1|1|11182088|0|1|0|1|0|0|17||3|3506|35026|35267348|35|3543907|354390705|3|1|||||||||1|0|0
2017|118638161785|21|1|1978|39|39|2|1|1|76|41|4101408|35|3543907|1|0|||||||||4|3|1|1|145F14|1|||1999|2|299|1|1|142P01|1|||2010||9999999||||||||||||0||0|0|1|0|0|0|0|0|0|0|0|0|0|0||0|0||||0||0|1|0|0|0|0|0|1|1|0|0|0|0|1|0|0|0|0|0|0|0|1|1|11182087|0|1|0|1|0|0|17||3|3506|35026|35267348|35|3543907|354390705|3|1|||||||||1|0|0
2017|118638161785|21|1|1978|39|39|2|1|1|76|41|4101408|35|3543907|1|0|||||||||4|3|1|1|145F14|1|||1999|2|299|1|1|142P01|1|||2010||9999999||||||||||||0||0|0|1|0|0|0|0|0|0|0|0|0|0|0||0|0||||0||0|1|0|0|0|0|0|1|1|0|0|0|0|1|0|0|0|0|0|0|0|1|1|11181078|0|1|0|1|0|0|18||3|3506|35026|35267348|35|3543907|354390705|3|1|||||||||1|0|0
2017|118638161785|21|1|1978|39|39|2|1|1|76|41|4101408|35|3543907|1|0|||||||||4|3|1|1|145F14|1|||1999|2|299|1|1|142P01|1|||2010||9999999||||||||||||0||0|0|1|0|0|0|0|0|0|0|0|0|0|0||0|0||||0||0|1|0|0|0|0|0|1|1|0|0|0|0|1|0|0|0|0|0|0|0|1|1|11181077|0|1|0|1|0|0|18||3|3506|35026|35267348|35|3543907|354390705|3|1|||||||||1|0|0
